,tweet_id,source,text,retweeted_status_id,retweeted_status_user_id,retweeted_status_timestamp,expanded_urls,rating_numerator,rating_denominator,name,date,time,dog_stage,jpg_url,breed,retweet_count,favorite_count,hour,time_of_day
9,890240255349198849,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Cassie. She is a college pup. Studying international doggo communication and stick theory. / so elegant much sophisticate ,nan,nan,,https://twitter.com/dog_rates/status/890240255349198849/photo/1,14,10,Cassie,2017-07-26 00:00:00,1900-01-01 15:59:51,doggo,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,Pembroke,7711,32467,15,Afternoon
12,889665388333682689,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. / ,nan,nan,,https://twitter.com/dog_rates/status/889665388333682689/photo/1,13,10,None,2017-07-25 00:00:00,1900-01-01 01:55:32,puppo,https://pbs.twimg.com/media/DFi579UWsAAatzw.jpg,Pembroke,8538,38818,1,Night
14,889531135344209921,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. / puppared puppo #BarkWeek ,nan,nan,,https://twitter.com/dog_rates/status/889531135344209921/photo/1,13,10,Stuart,2017-07-24 00:00:00,1900-01-01 17:02:04,puppo,https://pbs.twimg.com/media/DFg_2PVW0AEHN3p.jpg,golden_retriever,2321,15359,17,Afternoon
28,886366144734445568,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Roscoe. Another pupper fallen victim to spontaneous tongue ejections. Get the BlepiPen immediate. / deep breaths Roscoe ,nan,nan,,"https://twitter.com/dog_rates/status/886366144734445568/photo/1,https://twitter.com/dog_rates/status/886366144734445568/photo/1",12,10,Roscoe,2017-07-15 00:00:00,1900-01-01 23:25:31,pupper,https://pbs.twimg.com/media/DE0BTnQUwAApKEH.jpg,French_bulldog,3316,21524,23,Night
37,884162670584377345,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Meet Yogi. He doesn't have any important dog meetings today he just enjoys looking his best at all times. / for dangerously dapper doggo ,nan,nan,,https://twitter.com/dog_rates/status/884162670584377345/photo/1,12,10,Yogi,2017-07-09 00:00:00,1900-01-01 21:29:42,doggo,https://pbs.twimg.com/media/DEUtQbzW0AUTv_o.jpg,German_shepherd,3128,20771,21,Evening
40,883360690899218434,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Meet Grizzwald. He may be the floofiest floofer I ever did see. Lost eyes saving a schoolbus from a volcano erpuption. / heroic as h*ck ,nan,nan,,https://twitter.com/dog_rates/status/883360690899218434/photo/1,13,10,Grizzwald,2017-07-07 00:00:00,1900-01-01 16:22:55,floofer,https://pbs.twimg.com/media/DEJT3FeXoAAtwUy.jpg,chow,3825,22986,16,Afternoon
43,882762694511734784,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Gus. He's quite the cheeky pupper. Already perfected the disinterested wink. / would let steal my girl ,nan,nan,,https://twitter.com/dog_rates/status/882762694511734784/photo/1,12,10,Gus,2017-07-06 00:00:00,1900-01-01 00:46:41,pupper,https://pbs.twimg.com/media/DEAz_HHXsAA-p_z.jpg,Labrador_retriever,5134,28903,0,Night
48,881666595344535552,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Gary. He couldn't miss this puppertunity for a selfie. Flawless focusing skills. / would boop intensely ,nan,nan,,https://twitter.com/dog_rates/status/881666595344535552/photo/1,13,10,Gary,2017-07-03 00:00:00,1900-01-01 00:11:11,pupper,https://pbs.twimg.com/media/DDxPFwbWAAEbVVR.jpg,Saluki,11099,51522,0,Night
49,881536004380872706,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Here is a pupper approaching maximum borkdrive. Zooming at never before seen speeds. / paw-inspiring af 
(IG: puffie_the_chow) ",nan,nan,,https://twitter.com/dog_rates/status/881536004380872706/video/1,14,10,,2017-07-02 00:00:00,1900-01-01 15:32:16,pupper,https://pbs.twimg.com/ext_tw_video_thumb/881535971568889856/pu/img/9bawiZ--8FKywTkz.jpg,Samoyed,16570,50199,15,Afternoon
69,876838120628539392,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Ginger. She's having a ruff Monday. Too many pupper things going on. H*ckin exhausting. / would snug passionately ,nan,nan,,"https://twitter.com/dog_rates/status/876838120628539392/photo/1,https://twitter.com/dog_rates/status/876838120628539392/photo/1",12,10,Ginger,2017-06-19 00:00:00,1900-01-01 16:24:33,pupper,https://pbs.twimg.com/media/DCsnnZsVwAEfkyi.jpg,bloodhound,3506,21125,16,Afternoon
